date_visit,n_stay,n_people,n_room,amount_fee,n_reserve
2025-09-16,12,29,12,560240,12
2025-09-17,14,18,13,365520,8
2025-09-18,16,51,20,1030441,16
2025-09-19,22,59,26,1145190,22
2025-09-20,30,99,30,2363933,29
2025-09-21,27,79,27,1279882,26
2025-09-22,31,94,32,1735625,31
2025-09-23,19,42,19,891700,19
2025-09-24,13,24,13,680620,12
2025-09-25,15,36,23,801570,15
2025-09-26,28,68,27,1483931,26
2025-09-27,40,135,39,2740972,36
2025-09-28,23,60,28,1193587,23
2025-09-29,11,22,15,501834,10
2025-09-30,1,4,9,205260,1
2025-10-01,1,2,1,68200,1
2025-10-02,11,26,12,584941,11
2025-10-03,20,46,27,1032610,20
2025-10-04,27,77,34,1762941,27
2025-10-05,15,46,22,777401,15
2025-10-06,9,36,17,465700,8
2025-10-07,6,15,7,655440,6
2025-10-08,8,17,8,380380,8
2025-10-09,13,36,20,888560,13
2025-10-10,25,56,23,1211580,22
2025-10-11,50,149,49,3394685,47
2025-10-12,35,113,41,2690094,35
2025-10-13,16,46,15,972391,15
2025-10-14,8,23,8,513910,8
2025-10-15,6,12,13,334940,6
2025-10-16,10,21,10,602211,10
2025-10-17,26,54,31,1220281,26
2025-10-18,34,110,43,2131281,34
2025-10-19,23,47,21,1216330,20
2025-10-20,13,27,17,692390,13
2025-10-21,2,4,2,96040,2
2025-10-22,6,11,11,313760,6
2025-10-23,8,21,8,371120,8
2025-10-24,17,38,18,895260,17
2025-10-25,31,125,31,1879160,31
2025-10-26,27,65,25,1650983,26
2025-10-27,7,20,12,390712,7
2025-10-28,4,9,4,247700,4
2025-10-29,14,34,18,762700,14
2025-10-30,5,11,12,336700,5
2025-10-31,14,38,19,880540,14
2025-11-01,42,127,32,3470976,40
2025-11-02,24,68,19,1855740,24
2025-11-03,7,19,7,397540,7
2025-11-04,4,10,5,210040,4
2025-11-05,6,16,13,371300,6
2025-11-06,5,11,5,226950,5
2025-11-07,21,62,26,2217700,21
2025-11-08,36,106,28,5703311,35
2025-11-09,27,76,17,3633845,25
2025-11-10,13,41,19,1751200,12
2025-11-11,10,39,12,1144200,10
2025-11-12,12,24,9,1265520,12
2025-11-13,32,84,27,3958772,32
2025-11-14,37,89,31,4440455,37
2025-11-15,43,129,38,5580545,43
2025-11-16,36,144,29,3639322,36
2025-11-17,30,65,26,3181506,28
2025-11-18,27,53,27,2595980,27
2025-11-19,14,34,15,1736101,14
2025-11-20,23,53,25,2641020,23
2025-11-21,45,127,41,5928430,45
2025-11-22,33,109,39,4783122,33
2025-11-23,51,147,42,5991777,51
2025-11-24,21,48,24,2171330,21
2025-11-25,10,26,12,1210200,10
2025-11-26,8,20,7,952520,8
2025-11-27,17,59,19,1824220,17
2025-11-28,20,67,21,2435590,20
2025-11-29,34,107,30,4521432,34
2025-11-30,19,56,24,2095440,19
2025-12-01,16,49,17,1702302,16
2025-12-02,7,16,12,757700,7
2025-12-03,9,22,13,1109840,8
2025-12-04,13,99,14,2460520,13
2025-12-05,23,90,25,2500801,23
2025-12-06,32,111,37,5218460,32
2025-12-07,19,50,28,2338400,18
2025-12-08,4,8,11,318200,4
2025-12-09,8,25,10,1530500,8
2025-12-10,7,23,8,853301,7
2025-12-11,6,26,18,481800,5
2025-12-12,14,38,20,1860900,14
2025-12-13,26,64,22,3280160,26
2025-12-14,11,29,14,1770060,11
2025-12-15,2,4,9,271521,2
