date_visit,n_stay,n_people,n_room,amount_fee,n_reserve
2026-03-03,24,55,21,2554500,24
2026-03-04,14,35,14,1223422,14
2026-03-05,22,61,24,3083201,22
2026-03-06,37,104,39,4474843,37
2026-03-07,34,88,34,5515990,34
2026-03-08,24,59,24,2185840,24
2026-03-09,18,38,17,1815150,18
2026-03-10,18,43,18,2162440,18
2026-03-11,12,27,12,861340,12
2026-03-12,21,50,21,1896801,21
2026-03-13,28,71,33,2971114,28
2026-03-14,32,97,31,4854622,32
2026-03-15,29,101,30,2978031,29
2026-03-16,25,64,25,2629880,23
2026-03-17,14,36,16,1239400,14
2026-03-18,23,46,18,2075920,19
2026-03-19,27,81,31,2981401,27
2026-03-20,48,133,46,6092631,47
2026-03-21,42,117,41,4542831,42
2026-03-22,29,130,31,3581371,29
2026-03-23,11,25,10,793500,10
2026-03-24,11,25,12,927630,11
2026-03-25,9,19,9,793000,9
2026-03-26,23,53,22,1825032,22
2026-03-27,30,108,30,2995740,30
2026-03-28,40,103,40,4015382,40
2026-03-29,32,77,29,2297590,32
2026-03-30,18,44,17,1160439,17
2026-03-31,11,31,11,950530,11
2026-04-01,4,16,4,338120,4
2026-04-02,12,34,12,668681,12
2026-04-03,16,44,17,861081,16
2026-04-04,14,49,17,873962,14
2026-04-05,12,21,10,622711,12
2026-04-06,9,26,12,750760,9
2026-04-07,5,10,5,179501,5
2026-04-08,5,10,5,252100,5
2026-04-09,2,6,2,123200,2
2026-04-10,12,30,11,583690,11
2026-04-11,18,42,19,1135220,17
2026-04-12,4,10,4,215660,4
2026-04-13,7,9,5,202500,5
2026-04-14,3,9,3,184340,3
2026-04-15,1,3,1,155100,1
2026-04-16,4,9,4,162500,4
2026-04-17,2,3,2,40500,2
2026-04-18,4,10,5,266800,4
2026-04-19,7,16,7,342690,7
2026-04-20,4,6,3,127000,3
2026-04-21,6,11,6,347500,6
2026-04-22,4,9,4,322000,4
2026-04-23,5,9,5,231700,5
2026-04-24,6,15,6,493101,6
2026-04-25,11,34,13,904750,11
2026-04-26,2,5,2,153900,2
2026-04-27,3,4,3,68000,3
2026-04-28,5,12,5,216940,5
2026-04-29,11,27,10,696851,11
2026-04-30,4,10,4,308120,3
2026-05-01,12,29,10,629382,11
2026-05-02,27,71,24,1954054,23
2026-05-03,35,97,31,2959375,32
2026-05-04,31,81,25,2370441,27
2026-05-05,8,30,11,979500,8
2026-05-06,1,2,1,37000,1
2026-05-07,2,4,2,75800,2
2026-05-08,1,2,1,27000,1
2026-05-09,8,18,8,353900,8
2026-05-10,2,9,4,174900,2
2026-05-11,2,3,2,67900,2
2026-05-12,2,3,2,125700,2
2026-05-13,3,7,3,203400,3
2026-05-14,1,16,4,314160,1
2026-05-15,5,11,7,188000,5
2026-05-16,4,15,5,322970,4
2026-05-17,5,7,3,124500,3
2026-05-18,3,6,3,149200,3
2026-05-19,3,6,3,236300,3
2026-05-20,1,2,1,66120,1
2026-05-21,5,12,5,275000,5
2026-05-22,4,9,5,229000,4
2026-05-23,3,6,3,172660,3
2026-05-24,5,10,5,200201,5
2026-05-25,2,3,2,89700,2
2026-05-26,1,3,1,46200,1
2026-05-27,0,0,0,0,0
2026-05-28,0,0,0,0,0
2026-05-29,1,1,1,17500,1
2026-05-30,1,2,1,78800,1
2026-05-31,3,9,3,160302,3
2026-06-01,0,0,0,0,0
2026-06-02,2,4,2,63000,2
